Time,Ax,Ay,Fx_WC_L1,Fx_WC_L2,Fx_WC_R1,Fx_WC_R2,Fy_WC_L1,Fy_WC_L2,Fy_WC_R1,Fy_WC_R2,Fz_WC_L1,Fz_WC_L2,Fz_WC_R1,Fz_WC_R2,Mx_WC_L1,Mx_WC_L2,Mx_WC_R1,Mx_WC_R2,My_WC_L1,My_WC_L2,My_WC_R1,My_WC_R2,Mz_WC_L1,Mz_WC_L2,Mz_WC_R1,Mz_WC_R2
0.375, -0.04667203959561, -0.002009394352866, -13.60026045515, -39.16041164696, -12.75819738553, -38.32415646012, -48.51352435146, -18.74911108205, 45.33154314529, 12.82128126833, 949.7063936432, 723.7399587541, 914.3906878841, 695.4079237914, -7.887360644038, 1.443198817998, 7.33066028345, -2.663613951395, 0.190672538587, 10.06593130598, 0.1910473022335, 9.872264469297, 0.9818300507368, 1.713788568489, -0.9154391036699, -1.550826337045
0.4, -0.04283968778355, -0.001979793930927, -13.63894456029, -32.71934523764, -12.80268126725, -31.9173181246, -48.52684347553, -18.63675878746, 45.337672074, 12.80625648772, 947.9720681046, 724.9619645903, 912.7625613187, 696.7986426386, -7.900789486383, 1.486131035498, 7.341348750185, -2.680521331956, 0.216703139786, 8.311289334656, 0.2177963630632, 8.125445136377, 0.9829823104289, 1.713523561327, -0.9164342181772, -1.551771081164
0.425, -0.03936171557342, -0.001912387029944, -13.68851515418, -26.87866060264, -12.85221692555, -26.10240229233, -48.47295699909, -18.49477079433, 45.34053054695, 12.82760664043, 947.1086002223, 726.1944022416, 911.8231569473, 698.039320895, -7.890107810135, 1.537525869614, 7.347133343697, -2.685792909084, 0.2405727116155, 6.719559446498, 0.2416512470473, 6.539545129531, 0.9831371618901, 1.712963602102, -0.917095920229, -1.552919839423
0.45, -0.03624544133968, -0.00185517331162, -13.74045838178, -21.64952146067, -12.90233943703, -20.89609174218, -48.41798555385, -18.36638879507, 45.32504526159, 12.84412445712, 946.6689939034, 727.2840551455, 911.3678933767, 699.2097996227, -7.876796120326, 1.58374921743, 7.345026892192, -2.691797165098, 0.2618557845727, 5.29407277777, 0.2623186234505, 5.119165617622, 0.9830269289556, 1.712405976011, -0.9173421088471, -1.553962948494
0.475, -0.03347276787803, -0.00181772477257, -13.7854297389, -16.99920805003, -12.94859550177, -16.26892832247, -48.38915323697, -18.26255022083, 45.30719017902, 12.84776084733, 946.2999726087, 728.2242302099, 911.0034866403, 700.2568404097, -7.87058888534, 1.62168975122, 7.341902430428, -2.700292659101, 0.2800033336104, 4.026294354844, 0.2806543053889, 3.856690301453, 0.9830512620971, 1.711961461229, -0.9174669622584, -1.554783431644
0.5, -0.03101855191475, -0.0017720792557, -13.82100172783, -12.88623346473, -12.98436250403, -12.17501511373, -48.37067699191, -18.16037191009, 45.31967333974, 12.86290248366, 945.8043056577, 729.0532874, 910.4516818354, 701.1341074178, -7.868129039653, 1.658145434774, 7.348546421768, -2.703994590117, 0.2957886707819, 2.90526322085, 0.2965501778397, 2.740001616553, 0.9831987131633, 1.711455106414, -0.9178892000075, -1.555566520429
0.525, -0.02886403004117, -0.001730128492637, -13.84619692711, -9.276868870346, -13.0091082529, -8.58208598653, -48.3693417428, -18.0694981017, 45.34702109287, 12.8791195799, 945.0799075612, 729.740726972, 909.7171435169, 701.9028269916, -7.871882846251, 1.690091022114, 7.36042865618, -2.706427867765, 0.3097584983326, 1.922019681767, 0.3102495974273, 1.760442232534, 0.9836010688876, 1.710951711057, -0.9185201761684, -1.556272008128
0.55, -0.02701118009706, -0.001699003485789, -13.86158859075, -6.172946821484, -13.02588067968, -5.493792317485, -48.38030112659, -17.99506524029, 45.37259536645, 12.88931898889, 944.2191742333, 730.3121350627, 908.8926867782, 702.5825658783, -7.879859659145, 1.716327244613, 7.372261310059, -2.709761344188, 0.3217815806746, 1.077042514144, 0.3222965121891, 0.9189946398216, 0.9841898380475, 1.710516208617, -0.9192048140793, -1.556855140846
0.575, -0.02549632391126, -0.00166479915429, -13.87055541771, -3.637410621061, -13.03607661462, -2.970783216532, -48.38097275103, -17.92449840495, 45.39759180084, 12.90495975206, 943.4102350201, 730.8070300921, 908.1004676343, 703.1525161329, -7.884550287913, 1.740769456384, 7.383664426667, -2.710568585863, 0.3318151675979, 0.3873061653412, 0.3323874487712, 0.2320715312495, 0.9846880356353, 1.710064481937, -0.9199010577702, -1.557406018674
0.6, -0.02440650764248, -0.001630568873005, -13.87481487431, -1.81863959799, -13.0406538983, -1.160795370175, -48.36755554559, -17.86082270826, 45.41234376867, 12.9240047811, 942.785215685, 731.1923342866, 907.4973577931, 703.6086816934, -7.884142471462, 1.762251309395, 7.391006398668, -2.709391715037, 0.339406883328, -0.1069267200225, 0.3398034281276, -0.2602295369355, 0.9849885610811, 1.709606974839, -0.9204490171147, -1.55790782909
0.625, -0.02393561365886, -0.00160384357793, -13.87217638593, -1.045237601178, -13.03858362114, -0.3919543542727, -48.34414917793, -17.81265229326, 45.40914390389, 12.94163196963, 942.4332103419, 731.4114025079, 907.1811375358, 703.9069990664, -7.879312546967, 1.777826879415, 7.391597603731, -2.707183177133, 0.3431595713815, -0.3161843580566, 0.3434545425747, -0.4685107605304, 0.9850634787789, 1.709192150683, -0.9207199742148, -1.558289931543
0.65, -0.02379715824777, -0.001577647567554, -13.86974196085, -0.8368068884612, -13.03602684305, -0.1871335493315, -48.30569719458, -17.77737727163, 45.39668670854, 12.96601448425, 942.4189217742, 731.4241331142, 907.1738222438, 703.9683034421, -7.868297216628, 1.7878586466, 7.387828686578, -2.700903802897, 0.3443094203685, -0.3719510884716, 0.3445059928559, -0.5234052764044, 0.9848161301076, 1.708782234064, -0.9207512663368, -1.558578406023
0.675, -0.02287927680946, -0.001550708681595, -13.89376330581, 0.6852090069469, -13.05904622069, 1.327726225296, -48.26168151381, -17.74946620394, 45.38554086223, 12.99457199535, 942.6258700904, 731.3933438715, 907.3432253906, 703.9287194774, -7.854512848766, 1.795414090861, 7.383536396866, -2.692491459546, 0.3505096189455, -0.7873289385626, 0.3506143210025, -0.937089629859, 0.9843606625119, 1.708455643797, -0.9206541627285, -1.558851988661
0.7, -0.02115162732873, -0.001531867552721, -13.93482662015, 3.574228999688, -13.09951095517, 4.205241980187, -48.23974896378, -17.72216932645, 45.38342251131, 13.00921419159, 942.7218178227, 731.6070299458, 907.3979246318, 704.1135729007, -7.84773963688, 1.805076181935, 7.382627164851, -2.6900147469, 0.3615438879981, -1.576314623249, 0.361678953226, -1.723408496715, 0.9841064966857, 1.708328291868, -0.9206123711933, -1.559150490636
0.725, -0.01886502644005, -0.001519154593873, -13.9774483528, 7.411026157621, -13.14254580591, 8.02673139124, -48.25079882126, -17.68210790157, 45.40082041479, 13.00284274508, 942.4149588896, 732.2271777401, 907.0648605424, 704.7150135709, -7.852705904259, 1.822115458601, 7.389575270512, -2.697246123948, 0.3757633055768, -2.623484058199, 0.3760536458211, -2.767075490701, 0.9843339617742, 1.708340721107, -0.9208776424827, -1.559512642833
0.75, -0.01622720195025, -0.001506370044273, -14.01275707611, 11.84869876561, -13.17904647265, 12.44619094608, -48.28787980145, -17.62151584323, 45.43925047717, 12.97982394149, 941.5969695501, 733.2102696792, 906.245045902, 705.7130670114, -7.86797565811, 1.848306621201, 7.405248329576, -2.712792313517, 0.3921421706739, -3.833377130024, 0.3925671308824, -3.972855962742, 0.9850837576026, 1.708350871993, -0.9215693575608, -1.559947187096
0.775, -0.01340749412323, -0.001490598850442, -14.03851008127, 16.60325320559, -13.2066841764, 17.1805232529, -48.33599752223, -17.54309979328, 45.48806705541, 12.94851214644, 940.3594510844, 734.3897212794, 905.0305673283, 706.9515955621, -7.888671674873, 1.88133669088, 7.425988652807, -2.732883896038, 0.4098698056695, -5.128228779411, 0.4103914682628, -5.263186597873, 0.9862142942484, 1.708254989128, -0.9226032312078, -1.560422194437
0.8, -0.01055068463773, -0.001469701098016, -14.05698148078, 21.42987383863, -13.22739002149, 21.98616252931, -48.37796823654, -17.45322276199, 45.5340946754, 12.91898040003, 938.922541523, 735.5924657551, 903.6251691412, 708.2407194532, -7.908588516798, 1.917810362271, 7.446838261862, -2.752948383004, 0.4281838123586, -6.441466929303, 0.4287815242339, -6.571764618534, 0.9874811339036, 1.708005071541, -0.9237939593251, -1.560911474526
0.825, -0.007774322795678, -0.001443360136046, -14.07193712179, 26.12808560415, -13.24437268754, 26.66385290375, -48.40174374681, -17.3587505883, 45.56672030029, 12.89811835683, 937.5226051775, 736.7020263736, 902.2504923715, 709.4434298319, -7.922937427694, 1.954717498874, 7.463520968366, -2.769788883389, 0.446350935218, -7.718892064488, 0.4469690941746, -7.844652276101, 0.9886572870837, 1.707610947542, -0.9249439706842, -1.561402062228
0.85, -0.00516356831698, -0.001413954856608, -14.08607007955, 30.55163539446, -13.2601298589, 31.06804624003, -48.40443359425, -17.26597260639, 45.58038788608, 12.88701232213, 936.3176094113, 737.6725698016, 901.0606315895, 710.5030851245, -7.930030687258, 1.989865347435, 7.473631891569, -2.782576304029, 0.4636923627822, -8.921115958055, 0.4642855522793, -9.042602694774, 0.9896157144301, 1.707125790048, -0.9259099564225, -1.561880851936
0.875, -0.002770569562085, -0.00138365248984, -14.10024451811, 34.61030996667, -13.27553836963, 35.10894627093, -48.38963225143, -17.17832495655, 45.57675839002, 12.88385211563, 935.3588314077, 738.510545702, 900.1052369296, 711.4195931154, -7.930664902291, 2.022348641595, 7.477435682884, -2.791814687726, 0.4796947958571, -10.02389266937, 0.4802524041648, -10.1414533457, 0.9903288040753, 1.706604225495, -0.9266481562027, -1.562339987404
0.9, -0.000618024239958, -0.001353640055534, -14.11401360374, 38.26435275668, -13.29015847406, 38.74701468511, -48.36401002033, -17.0968977313, 45.5621824481, 12.88614227713, 934.6149031221, 739.2402671273, 899.3546652211, 712.216432585, -7.926985677405, 2.052085507251, 7.476971542671, -2.798419779682, 0.4940967171894, -11.01655295875, 0.4946077006935, -11.13058379872, 0.990839100133, 1.7060823547, -0.9271950322341, -1.562775396989
0.925, 0.001294697074257, -0.001325034659129, -14.12642473996, 41.51418336357, -13.30315791206, 41.98262450937, -48.33464633247, -17.02227239501, 45.54320971053, 12.89128363318, 934.0189381665, 739.881448881, 898.747874509, 712.9178375646, -7.921434751771, 2.079092477488, 7.474486275963, -2.80334641503, 0.5068554255499, -11.89924529436, 0.5073111079705, -12.01013335704, 0.9912214517053, 1.705582269116, -0.9276163606865, -1.563179739637
0.95, 0.002984445682695, -0.001298356417161, -14.13672310749, 44.38808806725, -13.313932698, 44.84391238103, -48.30627939496, -16.95454896098, 45.52465132516, 12.89764123693, 933.5095574252, 740.4465300966, 898.2272748028, 713.5391722336, -7.915727184244, 2.103454039371, 7.471684564813, -2.80719771267, 0.5180779225714, -12.67965081532, 0.5184840259557, -12.78775170318, 0.9915406819589, 1.705113599313, -0.9279749116432, -1.563547882945
0.975, 0.0044775059529, -0.00127346139619, -14.14467707635, 46.93045789162, -13.32230539099, 47.37510998064, -48.28069598296, -16.89329773568, 45.50902564185, 12.90462345419, 933.0477770591, 740.9442353483, 897.7552331832, 714.0896867884, -7.910590641556, 2.125369667009, 7.469486832024, -2.810227086214, 0.527960819359, -13.36983004598, 0.5283220101731, -13.47546700326, 0.9918338990149, 1.704677336719, -0.9283132059776, -1.563880328164
1, 0.005803953329831, -0.001250302231734, -14.15049355314, 49.19212807437, -13.3285152292, 49.62684689999, -48.25798566694, -16.83808290172, 45.49658563405, 12.91181555163, 932.6155324968, 741.3827456781, 897.3150338851, 714.5780490052, -7.906141916627, 2.145036061958, 7.468044684409, -2.812632157763, 0.5367267850268, -13.98361357535, 0.5370443543684, -14.08706517824, 0.9921165230372, 1.704273588075, -0.9286477360413, -1.564178902516
1.025, -0.05561399362643, 0.5092079525991, 6.365965086084, 78.07264815031, -40.11232858733, 35.01589053273, 734.9411545531, -72.99146228907, 1097.441635472, -71.45016412667, 586.8563496178, 348.6526822707, 1328.010799455, 1125.556002588, 210.6176446808, -18.10552124389, 299.6919145748, -30.85834538048, -1.123542172918, -21.80159402923, 0.8356814346679, -10.29093005587, -0.7581154544534, 1.258366705728, 1.530334886687, -0.4317481494128
1.05, -0.05782617804057, 0.4869057674463, 9.44503166894, 83.89288268527, -48.9122490737, 18.7624633054, 736.6443048905, -70.21018957577, 1006.477236199, -42.93382040893, 587.356288481, 364.1253006581, 1249.372875694, 1070.917636868, 210.9871301742, -17.32842494815, 274.4134497291, -22.72241022109, -1.843747898629, -23.38425380632, 3.757332920093, -5.842982537077, -1.989267345907, 1.220243387616, 0.3629076930017, -1.130582654597
1.075, -0.04739431137927, 0.5861892635597, 5.284168046418, 111.1017490269, -37.72386604603, 28.92286238714, 825.0590632291, 71.57036784316, 968.2781470026, 112.7148587147, 694.2916168552, 463.819142474, 1095.346301537, 907.4926021721, 235.9768036581, 23.85497296794, 264.5471655877, 22.16971905151, -0.4847987642598, -30.88579463455, 1.714488709589, -8.566522683447, -4.045117460625, 0.4036897074206, 2.24047613197, -3.312930360945
